timestamp,comment,predicted_label,predicted_score,correct_label,correct_score,was_correct
2026-05-13T22:07:56.344081+00:00,Test comment,Neutral,3,Positivo,4,False
2026-05-13T22:07:56.365794+00:00,Decepcion de escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:07:56.770730+00:00,Test feedback,Neutral,3,Negativo,2,False
2026-05-13T22:07:56.781497+00:00,Que decepcion,Positivo,4,Muy Negativo,1,False
2026-05-13T22:07:56.791288+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:07:56.792147+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:07:56.793281+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.746070+00:00,Test comment,Neutral,3,Positivo,4,False
2026-05-13T22:08:10.767881+00:00,Decepcion de escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.776998+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.777693+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.778345+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.779234+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.779988+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.795061+00:00,Test feedback,Neutral,3,Negativo,2,False
2026-05-13T22:08:10.811474+00:00,Que decepcion,Positivo,4,Muy Negativo,1,False
2026-05-13T22:08:10.821538+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.822218+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:10.823102+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:43.038890+00:00,"Que decepción de escuela, después de años con ustedes",Neutral,3,Muy Negativo,1,False
2026-05-13T22:08:43.040099+00:00,"Nefasta administración, los directivos no cumplen valores",Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.878242+00:00,Test comment,Neutral,3,Positivo,4,False
2026-05-13T22:09:23.896271+00:00,Decepcion de escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.904193+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.904933+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.905649+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.906376+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.907043+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.921004+00:00,Test feedback,Neutral,3,Negativo,2,False
2026-05-13T22:09:23.936664+00:00,Que decepcion,Positivo,4,Muy Negativo,1,False
2026-05-13T22:09:23.947175+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.947904+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:23.948712+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.335185+00:00,Test comment,Neutral,3,Positivo,4,False
2026-05-13T22:09:38.350441+00:00,Decepcion de escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.357897+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.358625+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.359283+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.359941+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.360590+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.374411+00:00,Test feedback,Neutral,3,Negativo,2,False
2026-05-13T22:09:38.391163+00:00,Que decepcion,Positivo,4,Muy Negativo,1,False
2026-05-13T22:09:38.402427+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.403151+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:09:38.403868+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.364049+00:00,Test comment,Neutral,3,Positivo,4,False
2026-05-13T22:19:11.379953+00:00,Decepcion de escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.387660+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.388601+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.389388+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.390150+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.390868+00:00,Que terrible escuela muy mala,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.405215+00:00,Test feedback,Neutral,3,Negativo,2,False
2026-05-13T22:19:11.422592+00:00,Que decepcion,Positivo,4,Muy Negativo,1,False
2026-05-13T22:19:11.433892+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
2026-05-13T22:19:11.434675+00:00,Nefasta administración de la escuela,Neutral,3,Muy Negativo,1,False
